Course,Numerical Grade
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,4.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,3.0
DSC 10,2.0
DSC 10,2.0
DSC 10,2.0
DSC 10,2.0
DSC 10,2.0
DSC 10,2.0
DSC 10,2.0
DSC 10,2.0
DSC 10,2.0
DSC 10,2.0
DSC 10,2.0
DSC 10,2.0
DSC 10,2.0
DSC 10,1.0
DSC 10,1.0
DSC 10,0.0
DSC 10,0.0
DSC 10,0.0
DSC 10,0.0
DSC 10,0.0
DSC 10,0.0
DSC 10,0.0
DSC 10,0.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,4.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,3.0
POLI 5D,2.0
POLI 5D,2.0
POLI 5D,2.0
POLI 5D,2.0
POLI 5D,2.0
POLI 5D,2.0
POLI 5D,2.0
POLI 5D,2.0
POLI 5D,2.0
POLI 5D,1.0
POLI 5D,1.0
POLI 5D,1.0
